id,name,institution,department,departmentId,imageUrl,hIndex,i10Index,publications,citations,bio,researchInterests,domain,iitornit
tanmay_basak,Tanmay Basak,Indian Institute of Technology Madras,"Professor, Chemical Engineering, Indian Insttitute of Technology Madras","professor,_chemical_engineering,_indian_insttitute_of_technology_madras",,51,184,0,11434,Professor at Indian Institute of Technology Madras specializing in Heat Transfer.,"Heat Transfer, Fluid Dynamics",Chemical Engineering,iit
udayan_guha,Udayan Guha,NextCure Inc,medicine,medicine,,33,47,0,4240,Professor at NextCure Inc specializing in Cancer Immunotherapy.,"Cancer Immunotherapy, Translational Medicine",Medical Sciences,na
abhirup_sarkar,Abhirup Sarkar,Indian Statistical Institute,"Professor of Economics, Indian Statistical Institute","professor_of_economics,_indian_statistical_institute",,12,12,0,785,Professor at Indian Statistical Institute specializing in Development Economics.,"Development Economics, Public Economics",Business Management,na
amit_chakraborty,Amit Chakraborty,Indian Statistical Institute,Master in computer applications,master_in_computer_applications,,55,253,0,13570,Professor at Indian Statistical Institute specializing in Algorithms.,"Algorithms, Computational Complexity",Computer Science,na
amitava_mukherjee,Amitava Mukherjee,VIT University,medicine,medicine,,78,351,0,24313,Professor at VIT University specializing in Nanobiotechnology.,"Nanobiotechnology, Nanomedicine",Medical Sciences,na
anindya_chatterjee,Anindya Chatterjee,Indian Institute of Technology,"Professor, Department of Mechanical Engineering, Indian Institute of Technology, Kanpur","professor,_department_of_mechanical_engineering,_indian_institute_of_technology,_kanpur",,34,82,0,7535,Professor at Indian Institute of Technology specializing in Kanpur.,"Kanpur, Vibrations and Dynamics",Mechanical Engineering,iit
dr._anirban_bhattacharya,Dr. Anirban Bhattacharya,Indian Institute of Technology Patna,"Associate Professor, Mechanical Engineering Department, Indian Institute of Technology Patna","associate_professor,_mechanical_engineering_department,_indian_institute_of_technology_patna",,30,60,0,3380,Professor at Indian Institute of Technology Patna specializing in Fluid Mechanics.,"Fluid Mechanics, Heat Transfer",Mechanical Engineering,iit
arijit_karati,Arijit Karati,National Sun Yat-sen University,"Assistant Professor, National Sun Yat-sen University","assistant_professor,_national_sun_yat-sen_university",,14,21,0,1111,Professor at National Sun Yat-sen University specializing in Cybersecurity.,"Cybersecurity, Cryptographic Protocols",Computer Science,na
arindam_dey,Arindam Dey,Meta Reality Labs,Research Scientist @ Meta Reality Labs | Adjunct Research Fellow @ UQ,research_scientist_@_meta_reality_labs_|_adjunct_research_fellow_@_uq,,28,42,0,2979,Professor at Meta Reality Labs specializing in Human-Computer Interaction.,"Human-Computer Interaction, Augmented Reality",Other,na
ashok_k._mishra,Ashok K. Mishra,Arizona State University,"Kemper and Ethel Marley Foundation Chair, ASU Tempe, AZ","kemper_and_ethel_marley_foundation_chair,_asu_tempe,_az",,68,240,0,15920,Professor at Arizona State University specializing in Agricultural Economics.,"Agricultural Economics, Water Resource Management",Business Management,na
babita_sharma,Babita Sharma,Singhania University,"PhD Scholar at Singhania University, Rajasthan, India","phd_scholar_at_singhania_university,_rajasthan,_india",,35,125,0,6319,Professor at Singhania University specializing in Biotechnology.,"Biotechnology, Environmental Science",Other,na
basudev_majumder,Basudev Majumder,Indian Institute of Space Science and Technology (IIST),"Faculty, Department of Avionics, IIST, Trivandrum","faculty,_department_of_avionics,_iist,_trivandrum",,13,17,0,619,Professor at Indian Institute of Space Science and Technology (IIST) specializing in Avionics.,"Avionics, Spacecraft Systems",Other,na
bharati_basu,Bharati Basu,Central Michigan University,"Professor of Economics, Central Michigan University","professor_of_economics,_central_michigan_university",,11,11,0,341,Professor at Central Michigan University specializing in Environmental Economics.,"Environmental Economics, Health Economics",Medical Sciences,na
prof._(dr.)_biswanath_mondal,Prof. (Dr.) Biswanath Mondal,CSIR-Central Mechanical Engineering Research Institute (CMERI),"Former Professor & Chief Scientist, AcSIR /Centre for Advanced Materials Processing, CSIR-CMERI","former_professor_&_chief_scientist,_acsir_/centre_for_advanced_materials_processing,_csir-cmeri",,33,65,0,4082,Professor at CSIR-Central Mechanical Engineering Research Institute (CMERI) specializing in Advanced Materials Processing.,"Advanced Materials Processing, Materials Science",Mechanical Engineering,na
debashis_mandal,Debashis Mandal,ICAR-IISWC,"Principal Scientist & ICAR-National Fellow, ICAR-IISWC","principal_scientist_&_icar-national_fellow,_icar-iiswc",,31,99,0,3776,Professor at ICAR-IISWC specializing in Soil and Water Conservation.,"Soil and Water Conservation, Sustainable Agriculture",Computer Science,na
debatosh_guha,Debatosh Guha,University of Calcutta,"Institute of Radio Physics & Electronics, Calcutta University","institute_of_radio_physics_&_electronics,_calcutta_university",,40,79,0,5082,Professor at University of Calcutta specializing in Antenna Design.,"Antenna Design, Microwave Engineering",Physics,na
dipak_kumar_jana,Dipak Kumar Jana,Haldia Institute of Technology,"Principal at Gangarampur College, Former HOD at SAS&H, Professor, Haldia Institute of Technology","principal_at_gangarampur_college,_former_hod_at_sas&h,_professor,_haldia_institute_of_technology",,29,65,0,2346,Professor at Haldia Institute of Technology specializing in Environmental Science.,"Environmental Science, Sustainable Development",Computer Science,na
dipankar_sarkar,Dipankar Sarkar,National Geophysical Research Institute,National Geophysical Research Institute,national_geophysical_research_institute,,27,49,0,2472,Professor at National Geophysical Research Institute specializing in Geophysics.,"Geophysics, Seismology",Physics,na
dr_ganesh_chandra__nayak,Dr Ganesh Chandra  Nayak,Sambalpur University,Associate Professor,associate_professor,,37,82,0,3594,Professor at Sambalpur University specializing in Materials Science.,"Materials Science, Nanotechnology",Mechanical Engineering,na
gourab_banerjee,Gourab Banerjee,Yale University,electrical,electrical,,12,12,0,1184,Professor at Yale University specializing in Electrical Engineering.,"Electrical Engineering, Photonics",Electrical Engineering,na
indrajit_chakrabarti,Indrajit Chakrabarti,Indian Institute of Technology Kharagpur,"Professor, Dept. of Electronics and Electrical Communication Engineering, IIT Kharagpur","professor,_dept._of_electronics_and_electrical_communication_engineering,_iit_kharagpur",,21,52,0,1459,Professor at Indian Institute of Technology Kharagpur specializing in Signal Processing.,"Signal Processing, Image Processing",Electrical Engineering,iit
md_jahangir_alam,Md Jahangir Alam,CRIM,"Researcher, CRIM","researcher,_crim",,67,437,0,23188,Professor at CRIM specializing in Natural Language Processing.,"Natural Language Processing, Artificial Intelligence",Computer Science,na
jayanta_bhattacharya,Jayanta Bhattacharya,Indian Institute of Technology Kharagpur,Indian Institute of Technology Kharagpur,indian_institute_of_technology_kharagpur,,42,119,0,8920,Professor at Indian Institute of Technology Kharagpur specializing in Signal Processing.,"Signal Processing, Communications",Electrical Engineering,iit
joydeep_banerjee,Joydeep Banerjee,Indian Institute of Technology,"Assistant Professor, Department of Agricultural and Food Engineering, Indian Institute of Technology","assistant_professor,_department_of_agricultural_and_food_engineering,_indian_institute_of_technology",,17,22,0,1117,Professor at Indian Institute of Technology specializing in Agricultural Engineering.,"Agricultural Engineering, Food Processing Technology",Other,iit
kaushik_kumar_bharadwaj,Kaushik Kumar Bharadwaj,Research Scholar,Research Scholar,research_scholar,,12,14,0,717,Professor at Research Scholar specializing in Artificial Intelligence.,"Artificial Intelligence, Data Science",Computer Science,na
kalyan_kumar_chattopadhyay,Kalyan Kumar Chattopadhyay,Jadavpur University,"Professor, Jadavpur University","professor,_jadavpur_university",,65,340,0,16124,Professor at Jadavpur University specializing in Materials Science.,"Materials Science, Nanotechnology",Mechanical Engineering,na
prasanta_kumar_das,Prasanta Kumar Das,BITS Pilani,"Associate Professor, Department of Physics, BITS Pilani, K.K.Birla Goa Campus","associate_professor,_department_of_physics,_bits_pilani,_k.k.birla_goa_campus",,92,452,0,30286,Professor at BITS Pilani specializing in Condensed Matter Physics.,"Condensed Matter Physics, Quantum Mechanics",Physics,na
"dr._narendra_nath_ghosh,_frsc","Dr. Narendra Nath Ghosh, FRSC",BITS Pilani,"Professor, Dept of Chemistry, BITS Pilani, KK Birla Goa Campus","professor,_dept_of_chemistry,_bits_pilani,_kk_birla_goa_campus",,39,103,0,6988,Professor at BITS Pilani specializing in Materials Chemistry.,"Materials Chemistry, Nanotechnology",Other,na
rakesh_pandey,rakesh pandey,Delhi University,"Professor in Physics, K M College, Delhi University","professor_in_physics,_k_m_college,_delhi_university",,4,2,0,70,Professor at Delhi University specializing in Condensed Matter Physics.,"Condensed Matter Physics, Quantum Mechanics",Physics,na
dr._k._n._das,Dr. K. N. Das,Assam Agricultural University,"Professor of Soil Science, Assam agricultural University","professor_of_soil_science,_assam_agricultural_university",,11,14,0,394,Professor at Assam Agricultural University specializing in Soil Science.,"Soil Science, Agricultural Research",Other,na
k_n_rai,K N Rai,IIT BHU Varanasi,"Institute Professor, IIT BHU Varanasi India","institute_professor,_iit_bhu_varanasi_india",,29,69,0,2626,Professor at IIT BHU Varanasi specializing in Thermal Engineering.,"Thermal Engineering, Heat Transfer",Other,na
prof._kalyan_kumar_das,Prof. Kalyan Kumar Das,Jadavpur University,Jadavpur University,jadavpur_university,,31,125,0,5821,Professor at Jadavpur University specializing in Condensed Matter Physics.,"Condensed Matter Physics, Materials Science",Physics,na
kalyanmoy_deb,Kalyanmoy Deb,Michigan State University,"University Distinguished Professor, Electrical and Computer Engineering, Michigan State University","university_distinguished_professor,_electrical_and_computer_engineering,_michigan_state_university",,145,647,0,216104,Professor at Michigan State University specializing in Evolutionary Computation.,"Evolutionary Computation, Multi-objective Optimization",Other,na
karabi_biswas,Karabi Biswas,Indian Institute of Technology Kharagpur,"Professor, Indian Institute of Technology Kharagpur","professor,_indian_institute_of_technology_kharagpur",,29,56,0,3149,Professor at Indian Institute of Technology Kharagpur specializing in Power Electronics.,"Power Electronics, Renewable Energy Systems",Electrical Engineering,iit
kaustubha_mohanty,Kaustubha Mohanty,Indian Institute of Technology Guwahati,"Professor and Head of Chemical Engineering, IIT Guwahati","professor_and_head_of_chemical_engineering,_iit_guwahati",,59,172,0,11249,Professor at Indian Institute of Technology Guwahati specializing in Chemical Engineering.,"Chemical Engineering, Process Systems Engineering",Chemical Engineering,iit
krishan_kumar,Krishan Kumar,Carleton University,Student at Carleton University,student_at_carleton_university,,109,1023,0,67818,Professor at Carleton University specializing in Artificial Intelligence.,"Artificial Intelligence, Data Science",Computer Science,na
kuldeep_kumar_sharma,Kuldeep Kumar Sharma,ICAR-IIMR,ICAR-IIMR,icar-iimr,,47,269,0,10032,Professor at ICAR-IIMR specializing in Maize Breeding.,"Maize Breeding, Abiotic Stress Tolerance",Computer Science,na
kunal_pal,Kunal Pal,National Institute of Technology Rourkela,National Institute of Technology Rourkela,national_institute_of_technology_rourkela,,56,193,0,11305,Professor at National Institute of Technology Rourkela specializing in Biomedical Engineering.,"Biomedical Engineering, Signal Processing",Medical Sciences,nit
lalit_mohan_patnaik,Lalit Mohan Patnaik,National Institute of Advanced Studies (NIAS),"Adjunct Professor and NASI(National Academy of Sciences India)Senior Scientist, NIAS,Bangalore,India","adjunct_professor_and_nasi(national_academy_of_sciences_india)senior_scientist,_nias,bangalore,india",,42,204,0,16771,Professor at National Institute of Advanced Studies (NIAS) specializing in Evolutionary Computation.,"Evolutionary Computation, Neural Networks",Other,na
m.k._walz,M.K. Walz,Universität Witten/Herdecke,Professor der Medizin,professor_der_medizin,,65,165,0,16968,Professor at Universität Witten/Herdecke specializing in Endocrine Surgery.,"Endocrine Surgery, Minimally Invasive Surgery",Medical Sciences,na
mrinal_k._ghose,Mrinal K. Ghose,Indian School of Mines,"Professor of Environmental Science & Engineering, Indian School of Mines, Dhanbad","professor_of_environmental_science_&_engineering,_indian_school_of_mines,_dhanbad",,43,124,0,6586,Professor at Indian School of Mines specializing in Dhanbad.,"Dhanbad, Environmental Science",Other,na
manoj_kumar_tiwari,Manoj Kumar Tiwari,Indian Institute of Management Mumbai,"Director, Indian Institute of Management Mumbai,India &Prof.of ISE,IIT KGP","director,_indian_institute_of_management_mumbai,india_&prof.of_ise,iit_kgp",,89,336,0,35395,Professor at Indian Institute of Management Mumbai specializing in Supply Chain Management.,"Supply Chain Management, Operations Research",Business Management,na
rajeshwar_malavath,Rajeshwar Malavath,Professor Jayashankar Telangana State Agricultural University,Professor Jayashankar Telangana State Agricultural University,professor_jayashankar_telangana_state_agricultural_university,,10,10,0,280,Professor at Professor Jayashankar Telangana State Agricultural University specializing in Agricultural Biotechnology.,"Agricultural Biotechnology, Plant Genetics",Medical Sciences,na
madhumita_chakraborty,Madhumita Chakraborty,Indian Institute of Management Lucknow,iim lucknow,iim_lucknow,,16,18,0,766,Professor at Indian Institute of Management Lucknow specializing in Operations Management.,"Operations Management, Supply Chain Management",Business Management,na
manas_chatterjee,Manas Chatterjee,Command Hospital (Eastern Command),"Professor and Head, Department of Dermatology, Command Hospital (Eastern Command), Kolkata 700027","professor_and_head,_department_of_dermatology,_command_hospital_(eastern_command),_kolkata_700027",,22,38,0,1682,Professor at Command Hospital (Eastern Command) specializing in Dermatology.,"Dermatology, Skin Disorders",Other,na
mrinal_k._ghose,Mrinal K. Ghose,Indian School of Mines,"Professor of Environmental Science & Engineering, Indian School of Mines, Dhanbad","professor_of_environmental_science_&_engineering,_indian_school_of_mines,_dhanbad",,43,124,0,6586,Professor at Indian School of Mines specializing in Environmental Science.,"Environmental Science, Environmental Engineering",Civil Engineering,na
mrinal_kanti_naskar,Mrinal Kanti Naskar,Jadavpur University,"Professor, Jadavpur University","professor,_jadavpur_university",,20,67,0,1987,Professor at Jadavpur University specializing in Wireless Communication.,"Wireless Communication, Signal Processing",Electrical Engineering,na
narottam_k_das,Narottam K Das,Central Queensland University,"Senior Lecturer, Central Queensland University, Melbourne Campus, Australia","senior_lecturer,_central_queensland_university,_melbourne_campus,_australia",,27,85,0,2741,Professor at Central Queensland University specializing in Information Systems.,"Information Systems, Cybersecurity",Computer Science,na
nand_k_roy,Nand K Roy,La Jolla Institute for Immunology,"Postdoctoral Fellow, Centre for Cancer Immunotherapy, La Jolla Institute for Immunology","postdoctoral_fellow,_centre_for_cancer_immunotherapy,_la_jolla_institute_for_immunology",,23,30,0,3190,Professor at La Jolla Institute for Immunology specializing in Cancer Immunotherapy.,"Cancer Immunotherapy, T Cell Biology",Medical Sciences,na
narendra_nath_dutta,Narendra Nath Dutta,VIT-AP University,"Assistant Professor, VIT-AP University, India","assistant_professor,_vit-ap_university,_india",,12,12,0,271,Professor at VIT-AP University specializing in Machine Learning.,"Machine Learning, Data Science",Computer Science,na
nilotpal_mrinal,NILOTPAL MRINAL,BCET Durgapur,"Student Of B.tech Final Year At BCET,Durgapur","student_of_b.tech_final_year_at_bcet,durgapur",,2,0,0,10,Professor at BCET Durgapur specializing in Artificial Intelligence.,"Artificial Intelligence, Data Science",Computer Science,na
partha_sarkar,Partha Sarkar,University of Alberta,Adj. Prof. of University of Alberta,adj._prof._of_university_of_alberta,,39,86,0,8479,Professor at University of Alberta specializing in Wind Engineering.,"Wind Engineering, Structural Dynamics",Other,na
pijush_ghosh,Pijush Ghosh,Indian Institute of Technology Madras,"Professor, Department of Applied Mechanics & Biomedical Engg, Indian Institute of Technology Madras","professor,_department_of_applied_mechanics_&_biomedical_engg,_indian_institute_of_technology_madras",,20,33,0,1476,Professor at Indian Institute of Technology Madras specializing in Biomechanics.,"Biomechanics, Biomedical Engineering",Medical Sciences,iit
dr_pk_banerjee,Dr PK Banerjee,CSIR-CIMFR Dhanbad,"Outstanding Scientist & Outstanding Professor (AcSIR), CSIR-CIMFR Dhanbad and Ex-CTO, HINDALCO","outstanding_scientist_&_outstanding_professor_(acsir),_csir-cimfr_dhanbad_and_ex-cto,_hindalco",,25,50,0,2035,Professor at CSIR-CIMFR Dhanbad specializing in Mineral Processing.,"Mineral Processing, Environmental Sustainability",Computer Science,na
"prantik_kundu,_phd","Prantik Kundu, PhD",Ceretype Neuromedicine Inc.,medicine,medicine,,42,55,0,6426,Professor at Ceretype Neuromedicine Inc. specializing in Neuroscience.,"Neuroscience, Neuroimaging",Medical Sciences,na
amit_singal,Amit Singal,University of Texas Southwestern Medical Center,University of Texas Southwestern Medical Center,university_of_texas_southwestern_medical_center,,94,338,0,36414,Professor at University of Texas Southwestern Medical Center specializing in Hepatology.,"Hepatology, Liver Cancer",Medical Sciences,na
amitabh_gupta,AMITABH GUPTA,University of Delhi,"Associate Professor, Dept. of Financial Studies,University of Delhi","associate_professor,_dept._of_financial_studies,university_of_delhi",,50,206,0,11581,Professor at University of Delhi specializing in Financial Management.,"Financial Management, Corporate Governance",Business Management,na
dr._arvind_tiwari,Dr. Arvind Tiwari,BAG Energy Research Society,"BAG Energy Research Society, India","bag_energy_research_society,_india",,27,38,0,4791,Professor at BAG Energy Research Society specializing in Renewable Energy.,"Renewable Energy, Energy Storage Systems",Other,na
ashutosh_sharma,Ashutosh Sharma,Indian Institute of Technology Kanpur,"Chemical Engineering, IITK, IIT Kanpur, Indian Institute of Technology Kanpur","chemical_engineering,_iitk,_iit_kanpur,_indian_institute_of_technology_kanpur",,89,404,0,26549,Professor at Indian Institute of Technology Kanpur specializing in Polymer Science.,"Polymer Science, Nanomaterials",Chemical Engineering,iit
ashutosh_tiwari,Ashutosh Tiwari,Kamla Nehru Institute of Technology,civil,civil,,80,427,0,30736,Professor at Kamla Nehru Institute of Technology specializing in Structural Engineering.,"Structural Engineering, Geotechnical Engineering",Civil Engineering,na
atul_kumar,Atul Kumar,Baba Mastnath University,"Assistant Professor, Baba Mastnath University","assistant_professor,_baba_mastnath_university",,75,527,0,25139,Professor at Baba Mastnath University specializing in Data Science.,"Data Science, Artificial Intelligence",Computer Science,na
"vinod_kumar_gupta,_fwif,fnasc,_frsc","Vinod Kumar Gupta, FWIF,FNASc, FRSC",Professor Abdulazeez University,"Professor Abdulazeez University; Jedeha, Saudi Arabia;Thomson Highly Cited Researcher","professor_abdulazeez_university;_jedeha,_saudi_arabia;thomson_highly_cited_researcher",,202,907,0,141080,Professor at Professor Abdulazeez University specializing in Environmental Chemistry.,"Environmental Chemistry, Analytical Chemistry",Other,na
vipin_kumar,Vipin Kumar,Women Institute of Technology Dehradun,"Assistant Professor of Computer Science Engineering , Women Institute of Technology Dehradun","assistant_professor_of_computer_science_engineering_,_women_institute_of_technology_dehradun",,69,576,0,43697,Professor at Women Institute of Technology Dehradun specializing in Artificial Intelligence.,"Artificial Intelligence, Data Science",Computer Science,na
dhruba_kr_bhattacharyya,Dhruba Kr Bhattacharyya,Tezpur University,"Professor of Computer Science and Engg, Tezpur University","professor_of_computer_science_and_engg,_tezpur_university",,46,131,0,10275,Professor at Tezpur University specializing in Data Mining.,"Data Mining, Network Security",Computer Science,na
dheerendra_kumar_dwivedi,Dheerendra Kumar Dwivedi,IIT Roorkee,"IIT ROORKEE, INDIA, PIN: 247667","iit_roorkee,_india,_pin:_247667",,48,125,0,6558,Professor at IIT Roorkee specializing in Fluid Mechanics.,"Fluid Mechanics, Heat Transfer",Other,na
d_p_kothari,D P Kothari,VIT Vellore,"Vice chancellor, VIT Vellore, Director I/c, IIT Delhi, Deputy Director(A),IIT Delhi,Principal,VRCE","vice_chancellor,_vit_vellore,_director_i/c,_iit_delhi,_deputy_director(a),iit_delhi,principal,vrce",,65,238,0,22843,Professor at VIT Vellore specializing in Power Systems.,"Power Systems, Renewable Energy",Electrical Engineering,na
dr._pardeep_singh,Dr. Pardeep Singh,Ambala College of Engineering & Applied Research,mathematics,mathematics,,102,597,0,42879,Professor at Ambala College of Engineering & Applied Research specializing in Applied Mathematics.,"Applied Mathematics, Numerical Analysis",Mathematics,na
dr._vinay__singh,Dr. VINAY  SINGH,Banaras Hindu University,Associate Professor Computer Science,associate_professor_computer_science,,64,395,0,19070,Professor at Banaras Hindu University specializing in Artificial Intelligence.,"Artificial Intelligence, Data Mining",Computer Science,na
devendra_choudhary,Devendra Choudhary,Govt. Engineering College Ajmer,"Prof. (Associate), Govt. Engineering College, Ajmer","prof._(associate),_govt._engineering_college,_ajmer",,11,11,0,1183,Professor at Govt. Engineering College Ajmer specializing in Power Systems.,"Power Systems, Renewable Energy",Electrical Engineering,na
peter_c._gotzsche,Peter C. Gotzsche,Institute for Scientific Freedom,Institute for Scientific Freedom,institute_for_scientific_freedom,,111,328,0,413024,Professor at Institute for Scientific Freedom specializing in Pharmaceutical Industry Ethics.,"Pharmaceutical Industry Ethics, Clinical Trial Transparency",Medical Sciences,na
dharmendra__mishra,Dharmendra  Mishra,Purdue University,Purdue University,purdue_university,,17,27,0,1388,Professor at Purdue University specializing in Cybersecurity.,"Cybersecurity, Data Privacy",Computer Science,na
rajeev_agrawal,Rajeev Agrawal,Kumaon Engineering College,"Kumaon engineering college, G. L. Bajaj, LLoyd Institute of Engg& tech","kumaon_engineering_college,_g._l._bajaj,_lloyd_institute_of_engg&_tech",,17,35,0,1269,Professor at Kumaon Engineering College specializing in Wireless Sensor Networks.,"Wireless Sensor Networks, Internet of Things",Other,na
girish__m._joshi,Girish  M. Joshi,Institute of Chemical Technology Mumbai,Institute of Chemical Technology Mumbai off campus Marathwada Region-Jalna,institute_of_chemical_technology_mumbai_off_campus_marathwada_region-jalna,,29,69,0,2945,Professor at Institute of Chemical Technology Mumbai specializing in Polymer Science.,"Polymer Science, Nanomaterials",Computer Science,na
lipsa_das,Lipsa Das,Indian Institute of Technology Delhi,Assistant Professor,assistant_professor,,11,11,0,319,Professor at Indian Institute of Technology Delhi specializing in Wireless Communication.,"Wireless Communication, Signal Processing",Electrical Engineering,iit
giriraj_ratan_chandak,Giriraj Ratan Chandak,CSIR-Centre for Cellular and Molecular Biology,Former Chief Scientist and Sir JC Bose Fellow,former_chief_scientist_and_sir_jc_bose_fellow,,52,115,0,14396,Professor at CSIR-Centre for Cellular and Molecular Biology specializing in Genetics.,"Genetics, Genomics",Medical Sciences,na
prof._grk_sastry,Prof. GRK SASTRY,National Institute of Technology Andhra Pradesh,"Professor,Department of Mechanical Engineering,National Institute of Technology Andhra Pradesh","professor,department_of_mechanical_engineering,national_institute_of_technology_andhra_pradesh",,22,112,0,3308,Professor at National Institute of Technology Andhra Pradesh specializing in Mechanical Engineering.,"Mechanical Engineering, Renewable Energy",Mechanical Engineering,nit
g_s_gupta,G S Gupta,Indian Institute of Science,Indian Institute of Science,indian_institute_of_science,,23,41,0,1588,Professor at Indian Institute of Science specializing in Fluid Mechanics.,"Fluid Mechanics, Heat Transfer",Other,na
girja_shankar_pandey,Girja Shankar Pandey,University of Zambia,University of Zambia,university_of_zambia,,20,33,0,1238,Professor at University of Zambia specializing in Environmental Chemistry.,"Environmental Chemistry, Water Quality Management",Business Management,na
h_c_verma,H C Verma,IIT Kanpur,IIT Kanpur,iit_kanpur,,36,108,0,4884,Professor at IIT Kanpur specializing in Theoretical Physics.,"Theoretical Physics, Condensed Matter Physics",Physics,na
h_c_verma,H C Verma,IIT Kanpur,IIT Kanpur,iit_kanpur,,36,108,0,4884,Professor at IIT Kanpur specializing in Theoretical Physics.,"Theoretical Physics, Astrophysics",Physics,na
himanshu_narayan_singh,Himanshu Narayan Singh,Memorial Sloan Kettering Cancer Center,medicine,medicine,,15,20,0,817,Professor at Memorial Sloan Kettering Cancer Center specializing in Cancer Biology.,"Cancer Biology, Precision Medicine",Medical Sciences,na
hari_om_gupta,HARI OM GUPTA,JIIT Noida,RETIRED from DIRECTOR JIIT NOIDA and IIT ROORKEE,retired_from_director_jiit_noida_and_iit_roorkee,,35,97,0,5758,Professor at JIIT Noida specializing in Signal Processing.,"Signal Processing, Communication Systems",Electrical Engineering,na
dr._ruchika_garg,Dr. Ruchika Garg,Maharaja Agrasen University,"Assistant Professor, Maharaja Agrasen University, Baddi, Solan, H.P.","assistant_professor,_maharaja_agrasen_university,_baddi,_solan,_h.p.",,3,1,0,29,Professor at Maharaja Agrasen University specializing in Biotechnology.,"Biotechnology, Environmental Science",Other,na
harbhajan_singh,Harbhajan Singh,Data Scientist,Data Scientist,data_scientist,,1,0,0,7,Professor at Data Scientist specializing in Artificial Intelligence.,"Artificial Intelligence, Data Analytics",Computer Science,na
hari_om_gupta,HARI OM GUPTA,RETIRED,RETIRED from DIRECTOR JIIT NOIDA and IIT ROORKEE,retired_from_director_jiit_noida_and_iit_roorkee,,35,97,0,5758,Professor at RETIRED specializing in Power Systems.,"Power Systems, Renewable Energy",Electrical Engineering,na
dr._harsh_kumar_goyal,Dr. Harsh Kumar Goyal,Ministry Of Education,Administrative Officer Ministry Of Education,administrative_officer_ministry_of_education,,70,470,0,26336,Professor at Ministry Of Education specializing in Educational Policy.,"Educational Policy, Administrative Efficiency",Other,na
inderpreet_singh_ahuja,Inderpreet Singh Ahuja,Indian Institute of Technology Ropar,Professor in Mechanical Engineering,professor_in_mechanical_engineering,,43,128,0,8841,Professor at Indian Institute of Technology Ropar specializing in Sustainable Manufacturing.,"Sustainable Manufacturing, Additive Manufacturing",Mechanical Engineering,iit
dr.inderjit_singh-pbg,Dr.Inderjit Singh-PBG,Punjab Agricultural University (PAU),"PAU, Ludhiana","pau,_ludhiana",,22,52,0,1924,Professor at Punjab Agricultural University (PAU) specializing in Plant Breeding.,"Plant Breeding, Genetics",Medical Sciences,na
kaushal_shetty,Kaushal Shetty,JP Morgan Chase,JP Morgan Chase,jp_morgan_chase,,1,1,0,13,Professor at JP Morgan Chase specializing in Financial Technology.,"Financial Technology, Risk Management",Business Management,na
jay_s._yadav,Jay S. Yadav,MiRus,"Founder and CEO, MiRus , LLC","founder_and_ceo,_mirus_,_llc",,56,143,0,21961,Professor at MiRus specializing in LLC.,"LLC, Medical Devices",Medical Sciences,na
jagdish_narain_sharma,Jagdish Narain Sharma,Mahatma Gandhi Medical College & Hospital Jaipur,"Professor Pediatrics, Department of Pediatrics, MAHATMA GANDHI MEDICAL COLLEGE & HOSPITAL JAIPUR","professor_pediatrics,_department_of_pediatrics,_mahatma_gandhi_medical_college_&_hospital_jaipur",,9,9,0,330,Professor at Mahatma Gandhi Medical College & Hospital Jaipur specializing in Pediatrics.,"Pediatrics, Child Health",Medical Sciences,na
jay_shankar_kumar,JAY SHANKAR KUMAR,Research Scholar,Research scholar,research_scholar,,90,778,0,37615,Professor at Research Scholar specializing in Artificial Intelligence.,"Artificial Intelligence, Data Science",Computer Science,na
nathan_h._lents,Nathan H. Lents,John Jay College (CUNY),Professor of Biology at John Jay College (CUNY),professor_of_biology_at_john_jay_college_(cuny),,19,29,0,3076,Professor at John Jay College (CUNY) specializing in Evolutionary Biology.,"Evolutionary Biology, Human Behavior",Other,na
jitendra_kumar,Jitendra Kumar,Coforge,Engineer at Coforge,engineer_at_coforge,,83,778,0,35780,Professor at Coforge specializing in Software Engineering.,"Software Engineering, Artificial Intelligence",Computer Science,na
joseph_a_maxwell,Joseph A Maxwell,George Mason University,George Mason University,george_mason_university,,53,80,0,85653,Professor at George Mason University specializing in Qualitative Research.,"Qualitative Research, Mixed Methods Research",Other,na
"kapil_chandra_agarwal,_dr.","Kapil Chandra Agarwal, Dr.",Dr. A. P. J. Abdul Kalam Technical University,"Former Professor at Dr. A. P. J. Abdul Kalam Technical University, Lucknow","former_professor_at_dr._a._p._j._abdul_kalam_technical_university,_lucknow",,7,5,0,250,Professor at Dr. A. P. J. Abdul Kalam Technical University specializing in Power Systems.,"Power Systems, Renewable Energy",Electrical Engineering,na
k.c_jain,K.C Jain,Malaviya National Institute of Technology,mathematics,mathematics,,11,14,0,476,Professor at Malaviya National Institute of Technology specializing in Mathematics.,"Mathematics, Applied Mathematics",Mathematics,nit
siddharth_paliwal,Siddharth Paliwal,BITS Pilani,BITS Pilani K.K. Birla Goa Campus,bits_pilani_k.k._birla_goa_campus,,2,0,0,6,Professor at BITS Pilani specializing in Operations Research.,"Operations Research, Supply Chain Management",Business Management,na
